,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,osijek,46,HR,1599529890,82,45.55,18.69,61.0,6.93
1,barra do garcas,2,BR,1599530028,59,-11.09,-43.14,77.05,14.29
2,rikitea,0,PF,1599530029,83,-23.12,-134.97,73.11,11.86
3,hilo,1,US,1599530029,58,19.73,-155.09,87.8,10.29
4,najran,0,SA,1599530029,38,17.49,44.13,75.2,2.95
5,atuona,20,PF,1599530029,76,-9.8,-139.03,78.75,21.7
6,vardo,0,NO,1599530029,84,70.37,31.11,50.79,11.61
7,busselton,87,AU,1599530030,64,-33.65,115.33,64.0,12.35
8,coruripe,0,BR,1599530030,85,-10.13,-36.18,72.75,7.07
9,mahebourg,40,MU,1599530030,94,-20.41,57.7,69.8,5.82
10,arlit,97,NE,1599530030,30,18.74,7.39,90.41,5.93
11,port lincoln,99,CD,1599530031,49,-7.03,29.76,72.63,4.07
12,sinnamary,35,GF,1599530031,88,5.38,-52.95,79.16,9.13
13,port alfred,99,CD,1599530031,49,-7.03,29.76,72.63,4.07
14,ketchikan,90,US,1599530031,52,55.34,-131.65,68.0,9.17
15,rawson,100,AR,1599530032,47,-43.3,-65.1,58.39,21.56
16,olafsvik,100,IS,1599530032,82,64.89,-23.71,46.51,13.29
17,punta arenas,10,PH,1599530032,58,8.99,125.34,88.88,2.17
18,mount gambier,100,GB,1599530032,99,53.66,-1.85,61.0,4.0
19,cherskiy,0,RU,1599530032,63,68.75,161.3,46.78,15.46
20,jamestown,1,US,1599530033,93,42.1,-79.24,63.0,4.7
21,ushuaia,40,AR,1599529882,75,-54.8,-68.3,41.0,3.36
22,inhuma,0,BR,1599530033,41,-6.67,-41.71,76.5,7.76
23,byron bay,90,US,1599529990,76,44.03,-92.65,51.01,6.93
24,vaini,75,TO,1599530033,73,-21.2,-175.2,77.0,11.41
25,provideniya,67,RU,1599530034,57,64.38,-173.3,50.0,13.42
26,araouane,1,ML,1599530034,32,18.9,-3.53,92.89,13.73
27,sakakah,0,SA,1599530034,12,29.97,40.21,82.4,4.7
28,palmer,40,US,1599530034,77,42.16,-72.33,68.0,4.7
29,coihaique,90,CL,1599529968,81,-45.58,-72.07,46.4,2.24
30,nome,75,US,1599530035,93,64.5,-165.41,55.0,8.05
31,qaanaaq,100,GL,1599530035,80,77.48,-69.36,21.22,9.66
32,puerto ayora,0,ES,1599530035,78,36.59,-6.23,75.2,14.99
33,cape town,91,CL,1599530035,93,-36.41,-71.9,48.2,6.93
34,bredasdorp,0,ZA,1599530036,93,-34.53,20.04,50.0,2.24
35,sobolevo,100,RU,1599530036,94,54.43,31.9,52.18,7.47
36,mar del plata,0,ES,1599530036,87,43.4,-4.01,60.01,1.12
37,iqaluit,20,CA,1599530036,93,63.75,-68.51,37.4,4.7
38,rodionovo-nesvetayskaya,0,RU,1599530037,50,47.61,39.71,55.4,2.24
39,koflach,75,AT,1599530037,87,47.07,15.08,61.0,2.24
40,pevek,0,RU,1599530037,78,69.7,170.31,42.06,3.13
41,baruun-urt,1,MN,1599530037,54,46.68,113.28,63.75,12.19
42,lavrentiya,79,RU,1599530038,68,65.58,-171.0,44.69,22.57
43,lithia springs,0,GR,1599530038,52,40.52,21.41,68.0,5.82
44,chokurdakh,100,RU,1599530038,86,70.63,147.92,40.41,9.53
45,vao,100,NC,1599530038,77,-22.67,167.48,68.29,25.17
46,mainz,1,DE,1599530039,76,50.0,8.27,52.0,3.36
47,vila franca do campo,32,PT,1599530039,68,42.03,-8.16,72.0,4.7
48,opuwo,0,NA,1599530039,55,-18.06,13.84,59.97,4.52
49,east london,75,IS,1599530039,70,65.0,-15.0,42.8,8.05
50,san jose,14,ML,1599530039,82,13.3,-4.9,76.06,9.86
51,mataura,0,NZ,1599530040,44,-46.19,168.86,61.61,7.45
52,dickinson,75,US,1599530040,78,29.46,-95.05,84.2,5.82
53,parrita,100,CR,1599530040,94,9.52,-84.32,69.8,2.24
54,lebu,100,CL,1599530041,90,-37.62,-73.65,47.59,9.71
55,tuktoyaktuk,75,CA,1599530041,100,69.45,-133.04,44.6,18.34
56,saskylakh,9,RU,1599530041,55,71.92,114.08,51.28,9.8
57,roma,90,US,1599530041,53,43.21,-75.46,75.2,8.05
58,thompson,75,CA,1599530041,81,55.74,-97.86,42.8,9.17
59,liwale,19,TZ,1599530042,95,-9.77,37.93,62.06,2.84
60,stege,100,DK,1599530042,1,54.99,12.28,60.01,8.01
61,midland,1,US,1599529960,33,32.0,-102.08,89.6,17.22
62,sapulpa,1,US,1599529892,62,36.0,-96.11,87.8,8.05
63,bluff,41,NZ,1599530042,66,-46.6,168.33,54.39,9.91
64,abu samrah,0,IN,1599530043,100,24.6,72.7,68.29,4.05
65,luderitz,0,NA,1599530043,55,-26.65,15.16,62.76,4.54
66,kapaa,20,US,1599530043,70,22.08,-159.32,84.2,10.29
67,santa maria,100,PH,1599530043,68,17.49,120.43,86.14,0.2
68,albany,92,US,1599530030,61,42.6,-73.97,72.0,7.05
69,marzuq,1,YE,1599530043,57,14.4,46.47,77.14,4.65
70,talnakh,1,RU,1599530044,93,69.49,88.4,48.2,6.71
71,yellowknife,75,CA,1599530044,81,62.46,-114.35,50.0,16.11
72,dikson,99,RU,1599530044,81,73.51,80.55,43.11,23.62
73,evans,1,US,1599530044,37,33.53,-82.13,82.4,6.93
74,bethel,1,US,1599530045,88,41.37,-73.41,66.0,3.74
75,pareora,0,NZ,1599530045,74,-44.49,171.21,55.0,8.84
76,gairo,20,IT,1599530045,83,39.85,9.5,69.8,11.41
77,hegra,78,NO,1599530045,93,63.46,11.11,51.01,17.22
78,saint-philippe,20,RE,1599530046,88,-21.36,55.77,68.0,4.7
79,kodiak,1,US,1599530046,55,57.79,-152.41,60.8,9.17
80,castro,15,BR,1599529772,68,-24.79,-50.01,63.91,3.31
81,santa marta,100,PH,1599530046,68,17.49,120.43,86.14,0.2
82,esperance,40,AU,1599530046,82,-33.87,121.9,57.2,13.87
83,poum,19,NC,1599530047,75,-20.23,164.02,73.02,8.61
84,cidreira,100,BR,1599530047,93,-30.18,-50.21,58.55,18.97
85,naze,20,JP,1599530047,79,28.37,129.48,84.2,3.36
86,puerto baquerizo moreno,0,ES,1599530047,78,36.59,-6.23,75.2,14.99
87,khatanga,0,RU,1599530047,71,71.97,102.5,49.84,9.44
88,qaqortoq,28,GL,1599530048,80,60.72,-46.03,41.0,5.82
89,santander,0,ES,1599530048,87,43.46,-3.8,60.01,1.12
90,santander jimenez,0,ES,1599530048,87,43.46,-3.8,60.01,1.12
91,peniche,0,PT,1599530048,84,39.36,-9.38,63.0,1.99
92,yumen,100,CN,1599530049,32,40.28,97.2,69.87,15.17
93,geraldton,0,AU,1599530049,59,-28.77,114.6,62.6,13.87
94,osakarovka,0,KZ,1599530049,87,50.56,72.57,40.64,6.93
95,hue,20,VN,1599530039,62,16.47,107.6,89.6,3.36
96,oriximina,1,BR,1599530050,65,-1.77,-55.87,80.31,1.43
97,morondava,0,MG,1599530050,58,-20.28,44.28,69.31,7.49
98,nanortalik,0,GL,1599530050,81,60.14,-45.24,41.31,20.0
99,carnarvon,98,AU,1599530051,72,-24.87,113.63,64.4,12.75
100,ginir,21,ET,1599530051,88,7.13,40.7,57.04,4.36
101,sooke,35,CA,1599529874,26,48.37,-123.73,78.01,1.99
102,chuy,6,UY,1599530051,88,-33.7,-53.46,50.43,5.99
103,nikolskoye,98,RU,1599530051,87,59.7,30.79,48.2,3.58
104,waddan,0,LY,1599530052,37,29.16,16.14,74.66,7.9
105,itzehoe,100,DE,1599530052,89,53.92,9.52,57.99,4.0
106,nizhneangarsk,99,RU,1599530052,70,55.78,109.55,58.98,1.32
107,half moon bay,59,LR,1599530052,90,6.38,-10.7,74.84,4.59
108,aswan,0,EG,1599530053,23,24.09,32.91,89.62,12.66
109,constitucion,98,CL,1599530053,81,-35.33,-72.42,49.73,7.58
110,arraial do cabo,76,BR,1599530053,77,-22.84,-46.65,68.0,16.11
111,yuci,0,CN,1599530053,33,37.68,112.73,75.2,6.71
112,shumyachi,100,RU,1599530054,95,53.86,32.42,53.01,7.31
113,butaritari,3,KI,1599530054,73,3.07,172.79,82.42,5.46
114,katsuura,14,JP,1599530054,79,35.13,140.3,91.0,7.0
115,souillac,40,MU,1599530054,94,-20.52,57.52,69.8,5.82
116,khilok,0,RU,1599530054,59,51.37,110.47,64.53,4.72
117,sangin,0,AF,1599530055,22,32.07,64.84,68.95,3.65
118,sheridan,90,US,1599530055,86,44.83,-106.92,37.4,11.41
119,peoria,75,US,1599529864,78,40.77,-89.77,71.6,5.82
120,georgetown,20,MY,1599530055,83,5.41,100.34,84.2,4.7
121,petrolina,0,BR,1599529978,77,-9.4,-40.5,71.91,19.95
122,sulangan,87,PH,1599530055,72,11.14,123.72,84.04,2.77
123,candido mendes,86,CO,1599530056,96,1.25,-75.6,72.23,1.97
124,cururupu,37,BR,1599530056,91,-1.83,-44.87,75.04,3.6
125,airai,89,TL,1599530056,46,-8.93,125.41,76.37,6.2
126,srednekolymsk,15,RU,1599530056,47,67.45,153.68,50.5,11.97
127,bjornevatn,0,NO,1599530057,100,69.67,29.98,42.8,11.41
128,chokwe,0,MZ,1599530057,76,-24.53,32.98,60.75,2.64
129,hermanus,0,ZA,1599530057,90,-34.42,19.23,55.99,3.0
130,udachnyy,90,RU,1599530057,55,66.42,112.4,32.0,6.71
131,sovetskiy,98,RU,1599530058,64,61.36,63.58,45.82,4.99
132,margate,99,GB,1599530058,79,51.38,1.39,62.01,5.99
133,bristol,20,US,1599530058,88,41.83,-71.17,68.0,3.8
134,wamba,100,NG,1599530058,92,8.93,8.6,72.19,1.79
135,padang,0,ID,1599530058,66,-0.95,100.35,83.23,2.82
136,victoria,75,HK,1599529820,94,22.29,114.16,78.8,4.7
137,hammerfest,100,NO,1599530059,62,70.66,23.68,53.6,18.34
138,lompoc,1,US,1599530059,64,34.64,-120.46,73.0,5.82
139,hobart,75,AU,1599529775,48,-42.88,147.33,66.0,19.46
140,broome,40,US,1599530059,72,42.25,-75.83,69.01,9.17
141,faanui,0,PF,1599530059,78,-16.48,-151.75,78.08,14.92
142,tasiilaq,23,GL,1599530060,93,65.61,-37.64,35.6,9.17
143,klaksvik,34,FO,1599530060,87,62.23,-6.59,51.8,20.8
144,san quintin,14,ML,1599530039,82,13.3,-4.9,76.06,9.86
145,storforshei,100,NO,1599530060,93,66.4,14.52,50.0,6.55
146,daru,72,PG,1599530060,82,-9.08,143.21,79.92,22.21
147,grand river south east,1,US,1599530061,10,38.88,-109.5,87.8,12.75
148,tilichiki,100,RU,1599530061,77,60.47,166.1,48.11,10.76
149,sao gabriel da cachoeira,53,IN,1599530061,88,20.51,76.21,76.15,3.6
150,bathsheba,40,BB,1599530061,78,13.22,-59.52,82.4,9.17
151,krasnoselkup,100,RU,1599530061,64,65.7,82.47,48.96,2.3
152,galesong,20,ID,1599530062,74,-5.32,119.37,82.4,1.12
153,barrow,90,US,1599530056,86,71.29,-156.79,37.4,14.99
154,longyearbyen,40,SJ,1599530062,80,78.22,15.64,35.6,4.7
155,valparaiso,6,CL,1599530062,100,-33.04,-71.63,48.2,4.7
156,plettenberg bay,82,DE,1599530063,93,51.22,7.88,57.0,4.56
157,ilulissat,31,GL,1599530063,96,69.22,-51.1,37.4,8.05
158,vestmannaeyjar,100,IS,1599530063,84,63.44,-20.27,48.88,0.36
159,kargasok,98,RU,1599530063,88,59.06,80.86,45.81,5.37
160,dingle,64,PH,1599530063,69,11.0,122.67,86.81,4.0
161,forrest city,1,US,1599530064,65,31.31,-89.29,78.8,4.09
162,aitape,6,PG,1599530064,59,-3.14,142.35,87.93,7.61
163,qianan,100,CN,1599530064,92,44.99,124.06,60.35,28.01
164,hambantota,90,LK,1599530064,94,6.12,81.12,78.8,5.82
165,camacha,40,PT,1599530065,83,33.08,-16.33,71.6,3.36
166,imperia,5,IT,1599530065,46,43.97,7.78,75.99,14.99
167,ribeira grande,3,ES,1599530065,77,42.75,-8.44,64.0,4.7
168,iquitos,54,PE,1599530065,93,-3.75,-73.25,74.39,4.25
169,avarua,37,CK,1599530042,57,-21.21,-159.78,77.0,13.87
170,bengkulu,87,ID,1599530066,72,-3.8,102.27,82.09,8.41
171,maniitsoq,94,GL,1599530066,71,65.42,-52.9,40.06,5.91
172,port elizabeth,99,CD,1599530066,49,-7.03,29.76,72.63,4.07
173,milkovo,88,RU,1599530066,85,54.72,158.62,58.95,7.11
174,port shepstone,99,CD,1599530066,49,-7.03,29.76,72.63,4.07
175,cayenne,4,GF,1599530066,88,4.93,-52.33,80.6,3.36
176,severo-kurilsk,93,RU,1599530067,88,50.68,156.12,55.09,12.28
177,saraland,0,US,1599530067,74,30.82,-88.07,82.0,1.99
178,clyde river,99,US,1599530067,94,41.3,-82.98,69.01,3.65
179,otjiwarongo,0,NA,1599530067,29,-20.46,16.65,63.19,13.38
180,ikom,72,NG,1599530068,98,5.97,8.71,71.33,1.57
181,comodoro rivadavia,0,BR,1599530068,28,-13.66,-59.79,74.59,2.89
182,surt,3,LY,1599530068,63,31.21,16.59,76.69,9.15
183,tuatapere,2,NZ,1599530068,54,-46.13,167.68,59.38,6.4
184,prokhorovka,0,RU,1599530068,41,51.04,36.73,59.0,4.47
185,ensenada,5,MX,1599530013,85,31.87,-116.62,75.0,3.0
186,alice springs,20,US,1599530069,74,27.75,-98.07,84.2,9.17
187,anadyr,20,RU,1599530069,50,64.75,177.48,51.8,4.47
188,mys shmidta,100,RU,1599530069,96,62.06,48.62,57.45,2.77
189,moindou,90,NC,1599530069,73,-21.69,165.68,69.8,24.16
190,sorong,98,ID,1599530070,70,-0.88,131.25,85.24,6.31
191,garissa,9,KE,1599530070,83,-0.45,39.64,70.66,12.77
192,mount isa,100,GB,1599530070,99,53.66,-1.85,61.0,4.0
193,bambous virieux,40,MU,1599530070,94,-20.26,57.41,72.0,5.82
194,nova vicosa,62,BR,1599530070,44,-5.53,-46.7,76.39,1.48
195,san patricio,14,ML,1599529963,82,13.3,-4.9,76.06,9.86
196,sao jose da coroa grande,53,IN,1599530071,88,20.51,76.21,76.15,3.6
197,jumla,17,NP,1599530071,59,29.27,82.18,64.67,0.31
198,asau,93,RO,1599530071,90,46.43,26.4,57.99,4.05
199,srisailam,91,IN,1599530071,81,16.08,78.87,79.45,1.5
200,qasigiannguit,98,GL,1599530072,91,68.82,-51.19,37.4,8.05
201,kushiro,40,JP,1599530072,88,42.98,144.37,80.6,2.24
202,moron,0,AR,1599530072,81,-34.65,-58.62,55.99,3.0
203,abu dhabi,0,IN,1599530072,100,24.6,72.7,68.29,4.05
204,valjevo,0,RS,1599530072,100,44.28,19.9,64.4,9.17
205,rindal,92,NO,1599530073,76,63.06,9.21,53.6,33.33
206,itaituba,50,BR,1599530073,63,-4.28,-55.98,79.25,2.15
207,sao miguel do araguaia,53,IN,1599530071,88,20.51,76.21,76.15,3.6
208,kstovo,100,RU,1599530073,71,56.15,44.2,61.0,4.47
209,bac lieu,53,RS,1599530073,82,45.39,19.24,63.0,8.05
210,kiunga,82,PG,1599530074,79,-6.12,141.29,84.07,1.97
211,ribeira brava,3,ES,1599530074,77,42.75,-8.44,64.0,4.7
212,jian,98,CN,1599530074,80,27.12,114.98,78.28,2.3
213,dunedin,0,NZ,1599530069,80,-45.87,170.5,50.0,15.01
214,sao filipe,53,IN,1599530075,88,20.51,76.21,76.15,3.6
215,dali,98,CN,1599530075,69,25.7,100.18,68.9,2.59
216,fortuna,1,US,1599530075,82,40.6,-124.16,64.99,16.11
217,adamovka,0,RU,1599530075,82,51.52,59.94,53.46,5.79
218,lorengau,96,PG,1599530076,80,-2.02,147.27,83.79,12.55
219,praia,75,CV,1599530076,88,14.92,-23.51,78.8,8.05
220,makakilo city,20,US,1599529792,58,21.35,-158.09,89.6,10.29
221,barabai,100,ID,1599530076,71,-2.58,115.38,83.03,0.92
222,smithers,40,CA,1599530076,42,54.78,-127.17,64.4,5.82
223,verkhoyansk,97,RU,1599530076,67,67.54,133.38,49.12,4.74
224,zmeinogorsk,100,RU,1599530077,91,51.16,82.19,45.84,11.54
225,hithadhoo,100,MV,1599530077,76,-0.6,73.08,82.62,11.3
226,pisco,3,PE,1599530077,77,-13.7,-76.22,60.8,9.17
227,ambilobe,18,MG,1599530077,84,-13.2,49.05,66.24,1.63
228,kudahuvadhoo,69,MV,1599530077,78,2.67,72.89,82.8,12.8
229,rabaul,0,PG,1599530077,65,-4.2,152.17,86.85,10.63
230,fort myers beach,100,NL,1599529856,87,52.65,6.39,59.0,1.99
231,lakes entrance,90,US,1599530078,71,61.61,-149.31,57.2,5.82
232,new norfolk,48,LR,1599530078,96,6.65,-10.59,71.89,1.59
233,saumur,9,FR,1599530078,93,47.33,-0.25,55.99,3.8
234,hofn,0,IS,1599530078,58,64.25,-15.21,45.86,15.46
235,port macquarie,99,CD,1599530031,49,-7.03,29.76,72.63,4.07
236,norman wells,1,US,1599530078,62,35.22,-97.44,84.2,11.41
237,selogiri,10,ID,1599530079,78,-7.78,110.87,78.8,6.93
238,ulladulla,100,AU,1599530079,38,-35.35,150.47,78.01,8.05
239,hailar,100,CN,1599530079,67,49.2,119.7,64.35,14.76
240,avera,90,US,1599530079,74,33.19,-82.53,78.8,5.82
241,husavik,75,IS,1599530080,75,66.04,-17.34,42.8,3.36
242,nyrob,95,RU,1599530080,96,60.73,56.72,48.79,4.63
243,rayagada,100,IN,1599530080,82,19.17,83.42,81.1,0.45
244,zhangjiakou,0,CN,1599530080,47,40.81,114.88,69.58,9.19
245,havelock,83,US,1599530080,92,34.88,-76.9,77.0,5.3
246,upernavik,100,GL,1599530080,79,72.79,-56.15,37.09,6.2
247,tabuk,83,PH,1599530081,68,17.42,121.44,84.7,4.59
248,cockburn town,19,AU,1599530081,18,-32.08,141.0,84.2,14.99
249,caravelas,15,BR,1599530081,86,-17.71,-39.25,70.21,4.97
250,manado,40,ID,1599530081,62,1.49,124.85,87.8,2.24
251,ancud,100,CL,1599530081,97,-41.87,-73.82,48.99,25.01
252,torbay,5,CA,1599530082,81,47.67,-52.73,57.0,11.41
253,conde,20,BR,1599530082,88,-7.26,-34.91,71.6,1.12
254,kysyl-syr,0,RU,1599530082,58,63.9,122.76,53.02,4.18
255,myatlevo,100,RU,1599530082,51,54.9,35.68,59.0,4.47
256,kabo,30,CF,1599530082,98,7.7,18.63,69.06,0.49
257,westerly,1,US,1599529825,88,41.38,-71.83,69.8,3.36
258,chapada dos guimaraes,100,BR,1599530083,96,-28.89,-50.36,50.59,6.71
259,mana,47,GF,1599530078,89,5.66,-53.78,78.78,7.11
260,karratha,0,AU,1599530083,25,-20.74,116.85,88.72,5.39
261,black river,1,US,1599530083,69,31.01,-85.74,80.6,4.7
262,arkhipo-osipovka,6,RU,1599530083,85,44.37,38.52,69.01,3.87
263,brae,100,GB,1599530083,87,60.4,-1.35,55.4,24.16
264,kaitangata,0,NZ,1599529930,42,-46.28,169.85,61.0,8.99
265,goderich,100,CA,1599530084,61,43.75,-81.72,66.0,4.0
266,kyzyl-suu,6,KG,1599530084,41,42.34,78.0,54.07,1.03
267,prabumulih,7,ID,1599530084,65,-3.45,104.25,83.62,6.29
268,teguldet,82,RU,1599530084,88,57.31,88.17,46.42,2.51
269,shingu,40,JP,1599530084,83,33.73,135.98,82.4,5.82
270,atar,61,MR,1599530084,41,20.52,-13.05,91.04,8.05
271,grindavik,90,IS,1599530085,100,63.84,-22.43,44.6,5.82
272,abony,20,HU,1599530085,62,47.19,20.0,61.0,9.17
273,touros,20,BR,1599530085,88,-5.2,-35.46,73.4,4.7
274,beyneu,100,KZ,1599530085,38,45.32,55.2,62.26,6.82
275,hasaki,40,JP,1599530085,62,35.73,140.83,91.0,13.87
